Dataset	ScanNumber	ScanTime	ScanType	TotalIonIntensity	BasePeakIntensity	BasePeakMZ	BasePeakSignalToNoiseRatio	IonCount	IonCountRaw	ScanTypeName
0	1	0.0344	1	1.0632E+06	6374	391.28	0	59536	59536	HMS
0	2	0.0371	1	923009	5263	391.28	0	53055	53055	HMS
0	3	0.0399	1	1.0447E+06	3981	391.28	0	59392	59392	HMS
0	4	0.0468	2	5046	237	220.9	0	3576	3576	HMSn
0	5	0.0510	2	4451	177	239.92	0	3850	3850	HMSn
0	6	0.0553	2	5818	170	457.9	0	4036	4036	HMSn
0	7	0.0596	2	4939	128	707.69	0	4300	4300	HMSn
0	8	0.0638	2	3852	107	540.73	0	4774	4774	HMSn
0	9	0.0681	2	4749	314	107.96	0	6738	6738	HMSn
0	10	0.0723	2	2946	147	210.16	0	3065	3065	HMSn
0	11	0.0766	2	1320	53	209.29	0	3168	3168	HMSn
0	12	0.0809	2	2410	101	386.9	0	3179	3179	HMSn
0	13	0.0851	2	1933	118	429.12	0	3430	3430	HMSn
0	14	0.0894	2	3965	115	323.2	0	5126	5126	HMSn
0	15	0.0937	2	6402	138	430.94	0	4982	4982	HMSn
0	16	0.0979	2	1875	83	180.09	0	3787	3787	HMSn
0	17	0.1022	2	3099	161	276.92	0	4149	4149	HMSn
0	18	0.1065	2	3016	125	327.96	0	3573	3573	HMSn
0	19	0.1107	2	3224	97	437.81	0	3936	3936	HMSn
0	20	0.1150	2	6861	141	559.38	0	5457	5457	HMSn
0	21	0.1193	2	5596	104	596.57	0	5994	5994	HMSn
0	22	0.1235	2	3324	174	249.92	0	2845	2845	HMSn
0	23	0.1278	2	2267	98	258.96	0	2949	2949	HMSn
0	24	0.1320	2	4742	174	159.11	0	2697	2697	HMSn
0	25	0.1363	2	6824	193	443.36	0	4016	4016	HMSn
0	26	0.1406	2	6253	105	496.82	0	5120	5120	HMSn
0	27	0.1448	2	7742	135	520.74	0	5153	5153	HMSn
0	28	0.1491	2	3694	230	109.1	0	2457	2457	HMSn
0	29	0.1534	2	5253	218	95.083	0	3142	3142	HMSn
0	30	0.1576	2	4332	179	438.75	0	4350	4350	HMSn
0	31	0.1619	2	3846	129	218.9	0	3239	3239	HMSn
0	32	0.1662	2	8566	188	107.97	0	5876	5876	HMSn
0	33	0.1704	2	7735	187	221.08	0	4396	4396	HMSn
0	34	0.1747	2	5367	83	893.83	0	9648	9648	HMSn
0	35	0.1790	2	1798	125	265.01	0	2705	2705	HMSn
0	36	0.1832	2	2961	113	377.26	0	3379	3379	HMSn
0	37	0.1875	2	7883	183	377.26	0	4264	4264	HMSn
0	38	0.1917	2	6532	147	446.83	0	4842	4842	HMSn
0	39	0.1960	2	6906	201	568.71	0	4556	4556	HMSn
0	40	0.2003	2	6882	212	433.92	0	4650	4650	HMSn
0	41	0.2045	2	7426	149	239.17	0	4468	4468	HMSn
