Dataset	ScanNumber	ScanTime	ScanType	TotalIonIntensity	BasePeakIntensity	BasePeakMZ	BasePeakSignalToNoiseRatio	IonCount	IonCountRaw	ScanTypeName
0	1	6.0931	1	3.0E+06	441856	73.1	0	171	171	GC-MS
0	2	6.0994	1	2.8E+06	412864	73.1	0	174	174	GC-MS
0	3	6.1056	1	2.6E+06	387712	73.1	0	171	171	GC-MS
0	4	6.1119	1	2.5E+06	370880	73.1	0	166	166	GC-MS
0	5	6.1181	1	2.4E+06	361600	73.1	0	167	167	GC-MS
0	6	6.1244	1	2.3E+06	337600	73.1	0	172	172	GC-MS
0	7	6.1306	1	2.1E+06	321792	73.1	0	169	169	GC-MS
0	8	6.1369	1	2.0E+06	305024	73.1	0	167	167	GC-MS
0	9	6.1431	1	1.9E+06	287616	73.1	0	162	162	GC-MS
0	10	6.1494	1	1.8E+06	275264	73.1	0	157	157	GC-MS
0	11	6.1557	1	1.7E+06	261248	73.1	0	163	163	GC-MS
0	12	6.1619	1	1.7E+06	251200	73.1	0	159	159	GC-MS
0	13	6.1682	1	1.6E+06	242688	73.1	0	165	165	GC-MS
0	14	6.1744	1	1.6E+06	241344	73.1	0	159	159	GC-MS
0	15	6.1807	1	1.6E+06	233920	73.1	0	152	152	GC-MS
0	16	6.1869	1	1.7E+06	236480	73.1	0	157	157	GC-MS
0	17	6.1932	1	1.8E+06	245568	73.1	0	155	155	GC-MS
0	18	6.1994	1	1.8E+06	241792	73.1	0	154	154	GC-MS
0	19	6.2057	1	1.7E+06	224960	73.1	0	153	153	GC-MS
0	20	6.2119	1	1.6E+06	205696	73.1	0	164	164	GC-MS
0	21	6.2182	1	1.4E+06	187008	73.1	0	155	155	GC-MS
0	22	6.2245	1	1.2E+06	163008	73.1	0	154	154	GC-MS
0	23	6.2307	1	907388	130896	73.1	0	158	158	GC-MS
0	24	6.237	1	727044	112368	73.1	0	155	155	GC-MS
0	25	6.2432	1	635657	98896	73.1	0	153	153	GC-MS
0	26	6.2495	1	579287	86224	73.1	0	151	151	GC-MS
0	27	6.2557	1	541799	81976	73.1	0	146	146	GC-MS
0	28	6.262	1	512567	75432	117.1	0	142	142	GC-MS
0	29	6.2682	1	488418	71752	73.1	0	151	151	GC-MS
0	30	6.2745	1	485729	68728	73.1	0	138	138	GC-MS
0	31	6.2808	1	477237	66416	73.1	0	138	138	GC-MS
0	32	6.287	1	482853	68256	73.1	0	142	142	GC-MS
0	33	6.2933	1	464021	62824	73.1	0	140	140	GC-MS
0	34	6.2995	1	449259	58800	73.1	0	142	142	GC-MS
0	35	6.3058	1	421110	53480	73.1	0	136	136	GC-MS
0	36	6.312	1	405484	49424	73.1	0	138	138	GC-MS
0	37	6.3183	1	384807	47144	73.1	0	142	142	GC-MS
0	38	6.3245	1	368349	43112	73.1	0	143	143	GC-MS
0	39	6.3308	1	337932	41048	73.1	0	131	131	GC-MS
0	40	6.3371	1	321810	36320	73.1	0	142	142	GC-MS
0	41	6.3433	1	300229	34368	73.1	0	137	137	GC-MS
0	42	6.3496	1	286065	34864	73.1	0	138	138	GC-MS
0	43	6.3558	1	279773	34952	73.1	0	134	134	GC-MS
0	44	6.3621	1	265158	34016	73.1	0	135	135	GC-MS
0	45	6.3683	1	253695	33312	73.1	0	138	138	GC-MS
0	46	6.3746	1	251608	33056	73.1	0	136	136	GC-MS
0	47	6.3808	1	237515	32848	73.1	0	134	134	GC-MS
0	48	6.3871	1	231583	32904	73.1	0	134	134	GC-MS
0	49	6.3934	1	227182	35280	73.1	0	141	141	GC-MS
0	50	6.3996	1	228441	34096	73.1	0	134	134	GC-MS
0	51	6.4059	1	223425	34592	73.1	0	133	133	GC-MS
0	52	6.4121	1	226722	36840	73.1	0	139	139	GC-MS
0	53	6.4184	1	220640	38112	73.1	0	131	131	GC-MS
0	54	6.4246	1	221909	39944	73.1	0	130	130	GC-MS
0	55	6.4309	1	225000	39480	73.1	0	134	134	GC-MS
0	56	6.4371	1	225632	41416	73.1	0	138	138	GC-MS
0	57	6.4434	1	234404	41456	73.1	0	139	139	GC-MS
0	58	6.4496	1	236660	44144	73.1	0	133	133	GC-MS
0	59	6.4559	1	234989	44152	73.1	0	132	132	GC-MS
0	60	6.4622	1	233244	44304	73.1	0	129	129	GC-MS
