Dataset	ScanNumber	ScanTime	ScanType	TotalIonIntensity	BasePeakIntensity	BasePeakMZ	BasePeakSignalToNoiseRatio	IonCount	IonCountRaw	ScanTypeName
0	1	0.1568	1	1.675E+06	609100	0	0	0	0	HMS
0	2	0.1702	1	3.257E+06	830900	0	0	0	0	HMS
0	3	0.1853	1	1.533E+06	831900	0	0	0	0	HMS
0	4	0.1986	1	2.028E+06	697200	0	0	0	0	HMS
0	5	0.2103	1	2.261E+06	893600	0	0	0	0	HMS
0	6	0.2251	1	2.14E+06	747900	0	0	0	0	HMS
0	7	0.2381	1	1.784E+06	887700	0	0	0	0	HMS
0	8	0.2531	1	1.594E+06	824700	0	0	0	0	HMS
0	9	0.268	1	1.824E+06	776900	0	0	0	0	HMS
0	10	0.282	1	2.843E+06	923200	0	0	0	0	HMS
0	11	0.2968	1	2.052E+06	870000	0	0	0	0	HMS
0	12	0.3098	1	2.151E+06	789400	0	0	0	0	HMS
0	13	0.3228	1	1.831E+06	849800	0	0	0	0	HMS
0	14	0.3361	1	2.406E+06	844400	0	0	0	0	HMS
0	15	0.3496	1	2.047E+06	828900	0	0	0	0	HMS
0	16	0.3647	1	2.271E+06	792700	0	0	0	0	HMS
0	17	0.378	1	1.973E+06	904000	0	0	0	0	HMS
0	18	0.3909	1	2.226E+06	726100	0	0	0	0	HMS
0	19	0.4042	1	2.047E+06	924600	0	0	0	0	HMS
0	20	0.4162	1	2.059E+06	859700	0	0	0	0	HMS
0	21	0.4331	1	2.166E+06	996500	0	0	0	0	HMS
0	22	0.4463	1	3.191E+06	1.251E+06	0	0	0	0	HMS
0	23	0.4578	1	1.981E+06	851700	0	0	0	0	HMS
0	24	0.4694	1	1.696E+06	685700	0	0	0	0	HMS
0	25	0.483	1	2.307E+06	796400	0	0	0	0	HMS
0	26	0.4981	1	2.012E+06	785100	0	0	0	0	HMS
0	27	0.5113	1	1.812E+06	781800	0	0	0	0	HMS
0	28	0.5261	1	1.362E+06	784800	0	0	0	0	HMS
0	29	0.541	1	2.107E+06	875400	0	0	0	0	HMS
0	30	0.5579	1	4.681E+06	1.108E+06	0	0	0	0	HMS
0	31	0.5694	1	1.783E+06	952000	0	0	0	0	HMS
0	32	0.5831	1	2.35E+06	1.048E+06	0	0	0	0	HMS
0	33	0.5969	1	2.145E+06	889300	0	0	0	0	HMS
0	34	0.6082	1	2.544E+06	971400	0	0	0	0	HMS
0	35	0.6231	1	2.636E+06	797600	0	0	0	0	HMS
0	36	0.638	1	2.022E+06	913000	0	0	0	0	HMS
0	37	0.6512	1	2.307E+06	807000	0	0	0	0	HMS
0	38	0.6645	1	2.375E+06	871900	0	0	0	0	HMS
0	39	0.6775	1	1.873E+06	1.097E+06	0	0	0	0	HMS
0	40	0.6905	1	2.293E+06	866800	0	0	0	0	HMS
0	41	0.7053	1	2.147E+06	755600	0	0	0	0	HMS
0	42	0.7186	1	2.236E+06	813100	0	0	0	0	HMS
0	43	0.73	1	1.731E+06	675800	0	0	0	0	HMS
0	44	0.7415	1	1.906E+06	684400	0	0	0	0	HMS
0	45	0.7527	1	1.501E+06	705000	0	0	0	0	HMS
0	46	0.7643	1	2.182E+06	985100	0	0	0	0	HMS
0	47	0.7759	1	2.137E+06	630300	0	0	0	0	HMS
0	48	0.7873	1	1.804E+06	842600	0	0	0	0	HMS
0	49	0.799	1	1.97E+06	922600	0	0	0	0	HMS
0	50	0.8119	1	2.048E+06	930300	0	0	0	0	HMS
0	51	0.8259	1	2.06E+06	843000	0	0	0	0	HMS
0	52	0.8407	1	2.029E+06	878800	0	0	0	0	HMS
0	53	0.854	1	2.425E+06	862200	0	0	0	0	HMS
0	54	0.8673	1	2.023E+06	721600	0	0	0	0	HMS
0	55	0.8818	1	2.208E+06	871500	0	0	0	0	HMS
0	56	0.8951	1	3.115E+06	889000	0	0	0	0	HMS
0	57	0.9062	1	1.693E+06	842200	0	0	0	0	HMS
0	58	0.9177	1	2.011E+06	877100	0	0	0	0	HMS
0	59	0.9307	1	2.779E+06	1.064E+06	0	0	0	0	HMS
0	60	0.9423	1	2.447E+06	1.013E+06	0	0	0	0	HMS
0	61	0.9536	1	2.341E+06	819500	0	0	0	0	HMS
0	62	0.9649	1	2.145E+06	1.029E+06	0	0	0	0	HMS
