Dataset	ScanNumber	Ion Injection Time (ms)	Scan Segment	Scan Event	Charge State	Monoisotopic M/Z	Collision Mode	Scan Filter Text
0	1							FTMS + p NSI Full ms [400.00-2000.00]
0	12							FTMS + p NSI Full ms [400.00-2000.00]
0	23							FTMS + p NSI Full ms [400.00-2000.00]
0	34							FTMS + p NSI Full ms [400.00-2000.00]
0	45							FTMS + p NSI Full ms [400.00-2000.00]
0	56							FTMS + p NSI Full ms [400.00-2000.00]
0	67							FTMS + p NSI Full ms [400.00-2000.00]
0	78							FTMS + p NSI Full ms [400.00-2000.00]
0	89							FTMS + p NSI Full ms [400.00-2000.00]
0	100							FTMS + p NSI Full ms [400.00-2000.00]
0	111							FTMS + p NSI Full ms [400.00-2000.00]
0	122							FTMS + p NSI Full ms [400.00-2000.00]
0	133							FTMS + p NSI Full ms [400.00-2000.00]
0	144							FTMS + p NSI Full ms [400.00-2000.00]
0	153							FTMS + p NSI Full ms [400.00-2000.00]
0	164							FTMS + p NSI Full ms [400.00-2000.00]
0	175							FTMS + p NSI Full ms [400.00-2000.00]
0	186							FTMS + p NSI Full ms [400.00-2000.00]
0	197							FTMS + p NSI Full ms [400.00-2000.00]
0	208							FTMS + p NSI Full ms [400.00-2000.00]
0	219							FTMS + p NSI Full ms [400.00-2000.00]
0	230							FTMS + p NSI Full ms [400.00-2000.00]
0	241							FTMS + p NSI Full ms [400.00-2000.00]
0	252							FTMS + p NSI Full ms [400.00-2000.00]
0	263							FTMS + p NSI Full ms [400.00-2000.00]
0	274							FTMS + p NSI Full ms [400.00-2000.00]
0	285							FTMS + p NSI Full ms [400.00-2000.00]
0	296							FTMS + p NSI Full ms [400.00-2000.00]
0	306							FTMS + p NSI Full ms [400.00-2000.00]
0	314							FTMS + p NSI Full ms [400.00-2000.00]
0	317							FTMS + p NSI Full ms [400.00-2000.00]
0	324							FTMS + p NSI Full ms [400.00-2000.00]
0	335							FTMS + p NSI Full ms [400.00-2000.00]
0	346							FTMS + p NSI Full ms [400.00-2000.00]
0	357							FTMS + p NSI Full ms [400.00-2000.00]
0	368							FTMS + p NSI Full ms [400.00-2000.00]
0	379							FTMS + p NSI Full ms [400.00-2000.00]
0	390							FTMS + p NSI Full ms [400.00-2000.00]
0	401							FTMS + p NSI Full ms [400.00-2000.00]
0	412							FTMS + p NSI Full ms [400.00-2000.00]
0	423							FTMS + p NSI Full ms [400.00-2000.00]
0	434							FTMS + p NSI Full ms [400.00-2000.00]
0	445							FTMS + p NSI Full ms [400.00-2000.00]
0	456							FTMS + p NSI Full ms [400.00-2000.00]
0	467							FTMS + p NSI Full ms [400.00-2000.00]
0	478							FTMS + p NSI Full ms [400.00-2000.00]
0	483							FTMS + p NSI Full ms [400.00-2000.00]
0	491							FTMS + p NSI Full ms [400.00-2000.00]
0	502							FTMS + p NSI Full ms [400.00-2000.00]
0	513							FTMS + p NSI Full ms [400.00-2000.00]
0	524							FTMS + p NSI Full ms [400.00-2000.00]
0	535							FTMS + p NSI Full ms [400.00-2000.00]
0	546							FTMS + p NSI Full ms [400.00-2000.00]
0	557							FTMS + p NSI Full ms [400.00-2000.00]
0	568							FTMS + p NSI Full ms [400.00-2000.00]
0	579							FTMS + p NSI Full ms [400.00-2000.00]
