Dataset	ScanNumber	ScanTime	ScanType	TotalIonIntensity	BasePeakIntensity	BasePeakMZ	BasePeakSignalToNoiseRatio	IonCount	IonCountRaw	ScanTypeName
0	1	0.0099	1	7.5364E+06	58948	550.6282	0	59	438	HMS
0	12	0.0678	1	6.9972E+06	51185	409.5753	0	83	552	HMS
0	23	0.1327	1	6.9332E+06	102311	409.5754	0	73	466	HMS
0	34	0.1953	1	6.0734E+06	130174	409.5754	0	62	335	HMS
0	45	0.2626	1	5.9208E+06	127370	409.5754	0	66	335	HMS
0	56	0.3337	1	5.3512E+06	109180	409.5754	0	62	337	HMS
0	67	0.3997	1	5.4627E+06	97290	409.5754	0	63	343	HMS
0	78	0.4719	1	5.2932E+06	84076	409.5754	0	63	344	HMS
0	89	0.5416	1	5.2296E+06	71263	409.5754	0	51	330	HMS
0	100	0.6126	1	4.9626E+06	58719	409.5755	0	55	334	HMS
0	111	0.6837	1	4.9692E+06	48351	409.5755	0	50	334	HMS
0	122	0.7565	1	5.0778E+06	45774	424.741	0	56	346	HMS
0	133	0.8294	1	5.2092E+06	58113	424.7408	0	50	334	HMS
0	144	0.9024	1	5.4691E+06	70939	424.7408	0	59	340	HMS
0	153	0.963	1	5.7488E+06	78196	405.2354	0	64	354	HMS
0	164	1.0367	1	6.1425E+06	87997	405.2354	0	64	370	HMS
0	175	1.104	1	6.9494E+06	107096	405.2353	0	58	348	HMS
0	186	1.1716	1	7.2353E+06	104497	405.2353	0	59	338	HMS
0	197	1.2408	1	7.5949E+06	133090	401.2456	0	59	331	HMS
0	208	1.3092	1	7.6348E+06	154976	401.2456	0	66	330	HMS
0	219	1.3761	1	7.8342E+06	167772	401.2456	0	68	342	HMS
0	230	1.4447	1	7.9552E+06	162552	401.2456	0	74	354	HMS
0	241	1.5164	1	7.7972E+06	139815	401.2456	0	78	358	HMS
0	252	1.5863	1	7.8582E+06	115299	401.2456	0	73	359	HMS
0	263	1.6567	1	7.4552E+06	81007	401.2457	0	72	344	HMS
0	274	1.7278	1	7.1037E+06	54470	406.2014	0	73	353	HMS
0	285	1.8002	1	6.8387E+06	59419	577.3354	0	69	353	HMS
0	296	1.8709	1	6.4618E+06	58540	577.3353	0	67	349	HMS
0	306	1.9346	1	6.024E+06	51651	577.3354	0	74	348	HMS
0	314	1.991	1	5.6555E+06	50291	405.2243	0	71	354	HMS
0	317	2.0184	1	5.9658E+06	75760	405.2243	0	72	353	HMS
0	324	2.0668	1	6.3124E+06	109231	405.2243	0	78	380	HMS
0	335	2.1305	1	6.9672E+06	162787	405.2243	0	77	383	HMS
0	346	2.1981	1	7.8147E+06	230893	405.2243	0	73	368	HMS
0	357	2.2663	1	8.8873E+06	287002	405.2244	0	77	370	HMS
0	368	2.3338	1	1.0115E+07	323286	405.2245	0	76	378	HMS
0	379	2.4016	1	1.1148E+07	324642	405.2245	0	75	390	HMS
0	390	2.4683	1	1.2162E+07	299338	416.2389	0	67	363	HMS
0	401	2.5365	1	1.2375E+07	332993	416.239	0	68	371	HMS
0	412	2.607	1	1.1948E+07	305076	416.2391	0	74	390	HMS
0	423	2.6736	1	1.1924E+07	242837	416.2389	0	78	379	HMS
0	434	2.7456	1	1.1206E+07	159959	416.2388	0	88	397	HMS
0	445	2.814	1	1.0871E+07	167088	422.7667	0	86	393	HMS
0	456	2.884	1	9.7851E+06	167449	422.7668	0	90	387	HMS
0	467	2.9543	1	9.5562E+06	152659	422.7669	0	91	406	HMS
0	478	3.0249	1	9.1577E+06	122955	422.7669	0	96	409	HMS
0	483	3.063	1	9.261E+06	98484	422.7669	0	94	424	HMS
0	491	3.118	1	9.1443E+06	75594	422.7669	0	95	417	HMS
0	502	3.1835	1	9.1367E+06	58761	405.5394	0	93	433	HMS
0	513	3.2493	1	8.4646E+06	42769	586.8239	0	89	418	HMS
0	524	3.3152	1	7.8256E+06	56989	586.824	0	93	429	HMS
0	535	3.383	1	7.1764E+06	52248	586.824	0	92	420	HMS
0	546	3.4506	1	7.1308E+06	37646	481.7404	0	103	436	HMS
0	557	3.5171	1	7.4073E+06	41241	432.2571	0	105	440	HMS
0	568	3.5822	1	8.3188E+06	57278	432.2572	0	100	431	HMS
0	579	3.6501	1	9.2395E+06	73539	450.78	0	99	414	HMS
0	590	3.7175	1	1.0818E+07	88317	506.7517	0	103	433	HMS
0	601	3.7835	1	1.1917E+07	90500	405.2121	0	102	457	HMS
0	612	3.8504	1	1.2481E+07	109296	433.7465	0	93	456	HMS
0	623	3.9193	1	1.2053E+07	117701	402.2086	0	98	449	HMS
0	634	3.9867	1	1.2097E+07	170378	402.2087	0	94	441	HMS
0	645	4.0587	1	1.2734E+07	196076	402.2088	0	91	440	HMS
0	656	4.1302	1	1.4139E+07	256476	659.3858	0	102	429	HMS
0	667	4.1996	1	1.7047E+07	290507	659.3858	0	97	420	HMS
0	678	4.2641	1	2.0432E+07	398126	466.2488	0	95	422	HMS
0	689	4.3287	1	2.2488E+07	484320	466.2485	0	92	421	HMS
