Dataset	ScanNumber	Ion Injection Time (ms)	Scan Segment	Scan Event	Charge State	Monoisotopic M/Z	Collision Mode	Scan Filter Text
0	1							IMS
0	2							IMS
0	3							IMS
0	4							IMS
0	5							IMS
0	6							IMS
0	7							IMS
0	8							IMS
0	9							IMS
0	10							IMS
0	11							IMS
0	12							IMS
0	13							IMS
0	14							IMS
0	15							IMS
0	16							IMS
0	17							IMS
0	18							IMS
0	19							IMS
0	20							IMS
0	21							IMS
0	22							IMS
0	23							IMS
0	24							IMS
0	25							IMS
0	26							IMS
0	27							IMS
0	28							IMS
0	29							IMS
0	30							IMS
0	31							IMS
0	32							IMS
0	33							IMS
0	34							IMS
0	35							IMS
0	36							IMS
0	37							IMS
0	38							IMS
0	39							IMS
0	40							IMS
0	41							IMS
0	42							IMS
0	43							IMS
0	44							IMS
0	45							IMS
0	46							IMS
0	47							IMS
0	48							IMS
0	49							IMS
0	50							IMS
0	51							IMS
0	52							IMS
0	53							IMS
0	54							IMS
0	55							IMS
0	56							IMS
0	57							IMS
0	58							IMS
0	59							IMS
0	60							IMS
0	61							IMS
0	62							IMS
0	63							IMS
0	64							IMS
0	65							IMS
0	66							IMS
0	67							IMS
0	68							IMS
0	69							IMS
0	70							IMS
0	71							IMS
0	72							IMS
0	73							IMS
0	74							IMS
0	75							IMS
0	76							IMS
0	77							IMS
0	78							IMS
0	79							IMS
0	80							IMS
0	81							IMS
0	82							IMS
0	83							IMS
0	84							IMS
0	85							IMS
0	86							IMS
0	87							IMS
0	88							IMS
0	89							IMS
0	90							IMS
0	91							IMS
0	92							IMS
0	93							IMS
0	94							IMS
0	95							IMS
0	96							IMS
0	97							IMS
0	98							IMS
0	99							IMS
0	100							IMS
0	101							IMS
0	102							IMS
0	103							IMS
0	104							IMS
0	105							IMS
0	106							IMS
0	107							IMS
0	108							IMS
0	109							IMS
0	110							IMS
0	111							IMS
0	112							IMS
0	113							IMS
0	114							IMS
0	115							IMS
0	116							IMS
0	117							IMS
0	118							IMS
0	119							IMS
0	120							IMS
0	121							IMS
0	122							IMS
0	123							IMS
0	124							IMS
0	125							IMS
0	126							IMS
0	127							IMS
0	128							IMS
0	129							IMS
0	130							IMS
0	131							IMS
0	132							IMS
0	133							IMS
0	134							IMS
0	135							IMS
0	136							IMS
0	137							IMS
0	138							IMS
0	139							IMS
0	140							IMS
0	141							IMS
0	142							IMS
0	143							IMS
0	144							IMS
0	145							IMS
0	146							IMS
0	147							IMS
0	148							IMS
0	149							IMS
0	150							IMS
0	151							IMS
0	152							IMS
0	153							IMS
0	154							IMS
0	155							IMS
0	156							IMS
0	157							IMS
0	158							IMS
0	159							IMS
0	160							IMS
0	161							IMS
0	162							IMS
0	163							IMS
0	164							IMS
0	165							IMS
0	166							IMS
0	167							IMS
0	168							IMS
0	169							IMS
0	170							IMS
0	171							IMS
0	172							IMS
0	173							IMS
0	174							IMS
0	175							IMS
0	176							IMS
0	177							IMS
0	178							IMS
0	179							IMS
0	180							IMS
0	181							IMS
0	182							IMS
0	183							IMS
0	184							IMS
0	185							IMS
0	186							IMS
0	187							IMS
0	188							IMS
0	189							IMS
0	190							IMS
0	191							IMS
0	192							IMS
0	193							IMS
0	194							IMS
0	195							IMS
0	196							IMS
0	197							IMS
0	198							IMS
0	199							IMS
0	200							IMS
0	201							IMS
0	202							IMS
0	203							IMS
0	204							IMS
0	205							IMS
0	206							IMS
0	207							IMS
