Dataset	ScanNumber	ScanTime	ScanType	TotalIonIntensity	BasePeakIntensity	BasePeakMZ	BasePeakSignalToNoiseRatio	IonCount	IonCountRaw	ScanTypeName
0	1	0.0263	1	437	2	454.03	0	1278	1278	HMS
0	2	0.0447	1	1	1	515.57	0	5	5	HMS
0	3	0.0637	1	0	0	0	0	2	2	HMS
0	4	0.0827	1	0	0	0	0	2	2	HMS
0	5	0.1017	1	0	0	0	0	2	2	HMS
0	6	0.1206	1	0	0	0	0	2	2	HMS
0	7	0.1396	1	0	0	0	0	2	2	HMS
0	8	0.1586	1	0	0	0	0	2	2	HMS
0	9	0.1776	1	0	0	0	0	2	2	HMS
0	10	0.1966	1	0	0	0	0	2	2	HMS
0	11	0.2155	1	0	0	0	0	2	2	HMS
0	12	0.2344	1	0	0	0	0	2	2	HMS
0	13	0.2535	1	1	1	1170.2	0	5	5	HMS
0	14	0.2725	1	0	0	0	0	2	2	HMS
0	15	0.2915	1	9	1	419.63	0	29	29	HMS
0	16	0.3104	1	33	1	436.29	0	101	101	HMS
0	17	0.3294	1	43	1	453.64	0	131	131	HMS
0	18	0.3484	1	57	1	412.05	0	173	173	HMS
0	19	0.3674	1	89	1	413.95	0	269	269	HMS
0	20	0.3864	1	111	1	403.07	0	334	334	HMS
0	21	0.4054	1	94	1	404.28	0	283	283	HMS
0	22	0.4243	1	84	1	400.96	0	254	254	HMS
0	23	0.4433	1	72	1	399.49	0	216	216	HMS
0	24	0.4623	1	99	2	1029.8	0	296	296	HMS
0	25	0.4813	1	89	1	449.05	0	269	269	HMS
0	26	0.5003	1	92	1	417.86	0	278	278	HMS
0	27	0.5193	1	94	1	426.74	0	284	284	HMS
0	28	0.5383	1	101	1	403.2	0	303	303	HMS
0	29	0.5572	1	109	1	403.53	0	327	327	HMS
0	30	0.5762	1	115	2	1129.8	0	344	344	HMS
0	31	0.5952	1	106	1	405.84	0	320	320	HMS
0	32	0.6141	1	118	1	408.67	0	356	356	HMS
0	33	0.6331	1	117	1	416.69	0	353	353	HMS
0	34	0.6521	1	117	1	402.55	0	353	353	HMS
0	35	0.6711	1	147	1	408.34	0	441	441	HMS
0	36	0.6901	1	135	1	404.63	0	407	407	HMS
0	37	0.7091	1	160	1	399.19	0	481	481	HMS
0	38	0.728	1	134	1	409.61	0	402	402	HMS
